CASE,STARTED,condition,time_min,attn_pass,effort_pass,distraction_pass,excluded,in_full_sample,in_quality_sample,bayes_1,bayes_2,bayes_3,bayes_total,bayes_prop,TP01_correct,TP02_correct,TP03_correct,TP04_correct,TP05_correct,accuracy
463.0,2026-01-06 05:47:49,treatment,22.766666666666666,True,True,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
464.0,2026-01-06 06:14:44,control,16.316666666666666,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
465.0,2026-01-06 06:31:42,control,9.633333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
467.0,2026-01-06 06:52:18,treatment,13.733333333333333,True,True,True,False,True,False,1.0,1.0,0.0,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
468.0,2026-01-06 07:10:49,treatment,24.083333333333332,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
469.0,2026-01-06 07:51:59,control,25.833333333333332,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
470.0,2026-01-06 08:18:14,control,22.366666666666667,True,True,True,False,True,True,1.0,0.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
471.0,2026-01-06 08:57:08,control,27.266666666666666,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0
472.0,2026-01-06 09:26:20,treatment,14.283333333333333,True,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
473.0,2026-01-06 09:44:48,control,26.316666666666666,True,True,True,False,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
